ts_ns,buy_id,sell_id,price,qty
1758411731066340708,3,5,127.512,10
1758411731066670632,1,8,127.46,5005
1758411731067354250,1,14,127.428,9
1758411731067364565,12,14,127.428,10
1758411731067372951,6,14,127.428,10
1758411731067381425,10,14,127.428,4981
1758411731067399823,4,14,127.428,56
1758411731067696775,4,17,127.485,4831
1758411731068049827,4,20,127.48,73
1758411731068350022,22,20,127.48,4984
1758411731068359431,22,5,127.512,61
1758411731068608681,24,5,127.512,10
1758411731069355220,27,29,127.473,10
1758411731069363417,18,29,127.473,10
1758411731070302956,34,29,127.473,5015
1758411731070311347,34,32,127.48,82
1758411731070694834,36,32,127.48,10
1758411731070970057,37,32,127.48,4954
1758411731070978398,37,26,127.488,82
1758411731071270672,39,26,127.488,10
1758411731071554937,40,26,127.488,4824
1758411731071862021,42,5,127.512,10
1758411731072305479,40,44,127.493,2
1758411731073467352,49,47,127.492,4968
1758411731074675685,51,47,127.492,10
1758411731075215748,45,53,127.432,10
1758411731075223776,48,53,127.432,10
1758411731075231776,43,53,127.432,4931
1758411731076259358,57,47,127.492,10
1758411731076661610,58,47,127.492,70
1758411731076670148,58,44,127.493,4982
1758411731077084531,60,44,127.493,10
1758411731077582855,55,62,127.483,4984
1758411731080275276,55,68,127.457,139
1758411731080282122,66,68,127.457,10
1758411731080288611,64,68,127.457,4871
1758411731081704550,64,71,127.46,89
1758411731081711698,63,71,127.46,10
1758411731081718393,43,71,127.46,101
1758411731081725113,46,71,127.46,4735
1758411731085545100,78,44,127.493,10
1758411731086151975,75,80,127.482,10
1758411731086158564,76,80,127.482,5051
1758411731086957368,76,83,127.445,47
1758411731086964026,73,83,127.445,5070
1758411731086970191,81,83,127.445,10
1758411731086976420,46,83,127.445,1
1758411731092041195,87,89,127.471,10
1758411731092064115,85,89,127.471,4924
1758411731092084307,46,89,127.471,89
1758411731097507918,93,95,127.44,10
1758411731097528937,91,95,127.44,5022
1758411731097548248,46,95,127.44,17
1758411731099993954,97,44,127.493,28
1758411731100016290,97,65,127.494,4960
1758411731100038115,97,74,127.5,19
1758411731101559030,99,74,127.5,10
1758411731103918015,103,74,127.5,5041
1758411731103927329,103,86,127.5,18
1758411731104619215,105,86,127.5,10
1758411731106286337,108,86,127.5,10
1758411731106968736,109,86,127.5,4886
1758411731106980057,109,92,127.5,140
1758411731107723055,111,92,127.5,10
1758411731109201547,114,92,127.5,10
1758411731110130258,115,92,127.5,4862
1758411731110893737,117,101,127.504,10
1758411731112775253,115,119,127.491,259
1758411731112782119,106,119,127.491,4840
1758411731114425040,106,122,127.462,171
1758411731114432044,102,122,127.462,10
1758411731114438430,112,122,127.462,4717
1758411731115695184,124,101,127.504,4911
1758411731116291779,126,101,127.504,10
1758411731117508140,112,128,127.461,437
1758411731117514791,100,128,127.461,4466
1758411731118568381,130,101,127.504,111
1758411731118574982,130,77,127.506,4929
1758411731120272251,132,77,127.506,10
1758411731125806841,135,137,127.493,10
1758411731132258459,141,137,127.493,10
1758411731133738020,133,143,127.444,4974
1758411731136107992,145,137,127.493,4847
1758411731136114788,145,77,127.506,69
1758411731136955151,147,77,127.506,10
1758411731139126187,150,77,127.506,10
1758411731143028137,148,155,127.481,4959
1758411731143033148,153,155,127.481,10
1758411731143039329,133,155,127.481,24
1758411731143045695,139,155,127.481,23
1758411731145572339,139,158,127.471,4933
1758411731145577655,151,158,127.471,70
1758411731147084053,160,152,127.506,4943
1758411731147091171,160,77,127.506,70
1758411731147097060,160,140,127.509,133
1758411731148510080,162,140,127.509,10
1758411731150860939,165,140,127.509,10
1758411731152033648,163,167,127.468,5083
1758411731152040447,151,167,127.468,12
1758411731162707301,171,140,127.509,10
1758411731163701329,172,140,127.509,4793
1758411731163709496,172,56,127.511,230
1758411731165768234,174,56,127.511,10
1758411731166729659,175,56,127.511,4883
1758411731166737902,175,5,127.512,25
1758411731168264465,177,5,127.512,10
1758411731170099198,169,179,127.448,5025
1758411731171988756,181,5,127.512,4834
1758411731171997586,181,134,127.513,122
1758411731173552760,183,134,127.513,10
1758411731174763039,169,185,127.488,11
1758411731177502928,187,185,127.488,5096
1758411731178335293,189,185,127.488,10
1758411731180214900,151,191,127.439,4861
1758411731180221757,100,191,127.439,49
1758411731182135698,193,185,127.488,68
1758411731185535866,195,197,127.483,10
1758411731185542166,193,197,127.483,4888
1758411731185548317,100,197,127.483,60
1758411731189719890,100,200,127.46,467
1758411731189726473,138,200,127.46,10
1758411731189732338,120,200,127.46,10
1758411731189738098,186,200,127.46,10
1758411731189744227,198,200,127.46,10
1758411731189750157,136,200,127.46,4603
1758411731192027496,202,134,127.513,4866
1758411731192033442,202,113,127.514,156
1758411731192728626,204,113,127.514,10
1758411731201615992,208,206,127.5,4970
1758411731202816106,210,113,127.514,10
1758411731204433540,211,113,127.514,4925
1758411731205346797,213,113,127.514,10
1758411731211568649,208,218,127.498,88
1758411731211575375,216,218,127.498,10
1758411731214137921,220,218,127.498,4912
1758411731214145377,220,215,127.508,104
1758411731215354292,222,215,127.508,10
1758411731216881439,223,215,127.508,4810
1758411731216887893,223,113,127.514,43
1758411731216892460,223,59,127.515,155
1758411731217800593,225,59,127.515,10
1758411731224490873,232,227,127.505,5052
1758411731226191852,234,227,127.505,7
1758411731226210424,234,230,127.506,3
1758411731228193094,231,236,127.488,10
1758411731228201353,228,236,127.488,10
1758411731228207130,207,236,127.488,10
1758411731230481802,238,236,127.488,5005
1758411731230488259,238,230,127.506,7
1758411731232207949,240,230,127.506,10
1758411731238682739,243,245,127.467,10
1758411731238689318,241,245,127.467,4966
1758411731240808676,247,230,127.506,4910
1758411731240814965,247,59,127.515,147
1758411731242280142,249,59,127.515,10
1758411731244949419,241,251,127.446,56
1758411731244955803,214,251,127.446,4876
1758411731259998415,214,254,127.48,48
1758411731260007119,219,254,127.48,10
1758411731260015166,229,254,127.48,4930
1758411731260022811,226,254,127.48,25
1758411731267827632,261,263,127.467,10
1758411731267834587,258,263,127.467,10
1758411731267841027,259,263,127.467,5007
1758411731267847672,256,263,127.467,53
1758411731271393919,256,266,127.468,4951
1758411731271402642,226,266,127.468,43
1758411731274064506,226,269,127.478,4991
1758411731274071923,205,269,127.478,48
1758411731276928431,205,272,127.416,4922
1758411731276935089,237,272,127.416,10
1758411731276943132,217,272,127.416,60
1758411731280851111,276,59,127.515,10
1758411731282668316,277,59,127.515,4720
1758411731282674981,277,242,127.516,261
1758411731284163728,279,242,127.516,10
1758411731287205769,282,242,127.516,10
1758411731289241081,274,284,127.509,4920
1758411731295730073,280,290,127.481,4889
1758411731295736378,288,290,127.481,10
1758411731295742555,285,290,127.481,10
1758411731295748311,286,290,127.481,194
1758411731321501671,286,293,127.435,4850
